id,categoryname,en,de,fr
1,Feelings,affection,die Zuneigung,l'affection
2,Feelings,anger,der Ärger,la colère
3,Feelings,boredom,die Langeweile,l'ennui
4,Feelings,confidence,das Vertrauen,la confiance
5,Feelings,creativity,die Kreativität,la créativité
6,Feelings,crisis,die Krise,la crise
7,Feelings,curiosity,die Neugier,la curiosité
8,Feelings,defeat,die Niederlage,la défaite
9,Feelings,depression,die Depression,la dépression
10,Feelings,despair,die Verzweiflung,le désespoir
11,Feelings,disappointment,die Enttäuschung,la déception
12,Feelings,distrust,das Misstrauen,la méfiance
13,Feelings,doubt,der Zweifel,le doute
14,Feelings,dream,der Traum,le rêve
15,Feelings,fatigue,die Müdigkeit,la fatigue
16,Feelings,fear,die Angst,la peur
17,Feelings,fight,der Streit,la lutte
18,Feelings,friendship,die Freundschaft,l'amitié
19,Feelings,fun,der Spaß,le plaisir
20,Feelings,grief,die Trauer,la douleur
21,Feelings,grimace,die Grimasse,la grimace
22,Feelings,happiness,das Glück,le bonheur
23,Feelings,hope,die Hoffnung,l'espoir
24,Feelings,hunger,der Hunger,la faim
25,Feelings,interest,das Interesse,l'intérêt
26,Feelings,joy,die Freude,la joie
27,Feelings,kiss,der Kuss,le baiser
28,Feelings,loneliness,die Einsamkeit,la solitude
29,Feelings,love,die Liebe,l'amour
30,Feelings,melancholy,die Melancholie,la mélancolie
31,Feelings,mood,die Stimmung,l'humeur
32,Feelings,optimism,der Optimismus,l'optimisme
33,Feelings,panic,die Panik,la panique
34,Feelings,perplexity,die Ratlosigkeit,la perplexité
35,Feelings,rage,die Wut,la rage
36,Feelings,rejection,die Ablehnung,le refus
37,Feelings,relationship,die Beziehung,la relation
38,Feelings,request,die Aufforderung,la demande
39,Feelings,scream,der Schrei,le cri
40,Feelings,security,die Geborgenheit,la sécurité
41,Feelings,shock,der Schreck,le choc
42,Feelings,smile,das Lächeln,le sourire
43,Feelings,tenderness,die Zärtlichkeit,la tendresse
44,Feelings,thought,der Gedanke,la pensée
45,Feelings,thoughtfulness,die Nachdenklichkeit,la réflexion
46,Animals,German shepherd,der Schäferhund,le berger allemand
47,Animals,animal,das Tier,l'animal
48,Animals,beak,der Schnabel,le bec
49,Animals,beaver,der Biber,le castor
50,Animals,bite,der Biss,la morsure
51,Animals,boar,das Wildschwein,le sanglier
52,Animals,cage,der Käfig,la cage
53,Animals,calf,das Kalb,le veau
54,Animals,cat,die Katze,le chat
55,Animals,chick,das Küken,le poussin
56,Animals,chicken,das Huhn,le poulet
57,Animals,deer,das Reh,le cerf
58,Animals,dog,der Hund,le chien
59,Animals,dolphin,der Delfin,le dauphin
60,Animals,duck,die Ente,le canard
61,Animals,eagle,der Adler,l'aigle
62,Animals,feather,die Feder,la plume
63,Animals,flamingo,der Flamingo,le flamant rose
64,Animals,foal,das Fohlen,le poulain
65,Animals,food,das Futter,l'aliment
66,Animals,fox,der Fuchs,le renard
67,Animals,goat,die Ziege,la chèvre
68,Animals,goose,die Gans,l'oie
69,Animals,hare,der Hase,le lièvre
70,Animals,hen,die Henne,la poule
71,Animals,heron,der Reiher,le héron
72,Animals,horn,das Horn,la corne
73,Animals,horseshoe,das Hufeisen,le fer à cheval
74,Animals,lamb,das Lamm,l'agneau
75,Animals,leash,die Hundeleine,la laisse
76,Animals,lobster,der Hummer,le homard
77,Animals,love of animals,die Tierliebe,l'amour des animaux
78,Animals,monkey,der Affe,le singe
79,Animals,muzzle,der Maulkorb,le museau
80,Animals,nest,das Nest,le nid
81,Animals,owl,die Eule,le hibou
82,Animals,parrot,der Papagei,le perroquet
83,Animals,peacock,der Pfau,le paon
84,Animals,pelican,der Pelikan,le pélican
85,Animals,penguin,der Pinguin,le pingouin
86,Animals,pet,das Haustier,l'animal de compagnie
87,Animals,pigeon,die Taube,le pigeon
88,Animals,rabbit,das Kaninchen,le lapin
89,Animals,rooster,der Hahn,le coq
90,Animals,sea lion,der Seelöwe,le lion de mer
91,Animals,seagull,die Möwe,la mouette
92,Animals,seal,der Seehund,le phoque
93,Animals,sheep,das Schaf,le mouton
94,Animals,snake,die Schlange,le serpent
95,Animals,stork,der Storch,la cigogne
96,Animals,swan,der Schwan,le cygne
97,Animals,trout,die Forelle,la truite
98,Animals,turkey,der Truthahn,la dinde
99,Animals,turtle,die Schildkröte,la tortue
100,Animals,vulture,der Geier,le vautour
101,Animals,wolf,der Wolf,le loup
102,Sports,acrobatics,die Akrobatik,les acrobaties
103,Sports,aerobics,das Aerobic,l'aérobic
104,Sports,athletics,die Leichtathletik,l'athlétisme
105,Sports,badminton,das Badminton,le badminton
106,Sports,balance,die Balance,l'équilibre
107,Sports,ball,der Ball,la balle
108,Sports,baseball,das Baseballspiel,le base-ball
109,Sports,basketball,der Basketball,le basket-ball
110,Sports,billiard ball,die Billardkugel,la boule de billard
111,Sports,billiards,das Billiard,le billard
112,Sports,boxing,der Boxsport,la boxe
113,Sports,boxing glove,der Boxhandschuh,le gant de boxe
114,Sports,callisthenics,die Gymnastik,la gymnastique
115,Sports,canoe,das Kanu,le canoë
116,Sports,car race,das Autorennen,la course automobile
117,Sports,catamaran,der Katamaran,le catamaran
118,Sports,climbing,das Klettern,l'escalade
119,Sports,cricket,das Kricket,le cricket
120,Sports,cross-country skiing,der Skilanglauf,le ski de fond
121,Sports,cup,der Pokal,la coupe
122,Sports,defense,die Abwehr,la défense
123,Sports,dumbbell,die Hantel,l'haltère
124,Sports,equestrian,der Reitsport,l'équitation
125,Sports,exercise,die Übung,l'exercice
126,Sports,exercise ball,der Gymnastikball,le ballon e gymnastique
127,Sports,exercise machine,das Trainingsgerät,l'appareil d'exercice
128,Sports,fencing,der Fechtsport,l'escrime
129,Sports,fin,die Flosse,la palme
130,Sports,fishing,der Angelsport,la pêche à la ligne
131,Sports,fitness,die Fitness,la remise en forme
132,Sports,football club,der Fußballclub,le club de football
133,Sports,frisbee,der Frisbee,le frisbee
134,Sports,glider,das Segelflugzeug,le planeur
135,Sports,goal,das Tor,le but
136,Sports,goalkeeper,der Torwart,le gardien de but
137,Sports,golf club,der Golfschläger,le club de golf
138,Sports,gymnastics,das Turnen,la gymnastique
139,Sports,handstand,der Handstand,l'équilibre sur les mains
140,Sports,hang-glider,der Drachenflieger,le deltaplane
141,Sports,high jump,der Hochsprung,le saut en hauteur
142,Sports,horse race,das Pferderennen,la course de chevaux
143,Sports,hot air balloon,der Heißluftballon,la montgolfière
144,Sports,hunt,die Jagd,la chasse
145,Sports,ice hockey,das Eishockey,le hockey sur glace
146,Sports,ice skate,der Schlittschuh,le patin à glace
147,Sports,javelin throw,der Speerwurf,le lancer du javelot
148,Sports,jogging,das Jogging,le jogging
149,Sports,jump,der Sprung,le saut
150,Sports,kayak,der Kajak,le kayak
151,Sports,kick,der Tritt,le coup de pied
152,Sports,life jacket,die Schwimmweste,le gilet de sauvetage
153,Sports,marathon,der Marathonlauf,le marathon
154,Sports,martial arts,der Kampfsport,les arts martiaux
155,Sports,mini golf,das Minigolf,le mini-golf
156,Sports,momentum,der Schwung,l'élan
157,Sports,parachute,der Fallschirm,le parachute
158,Sports,paragliding,das Paragleiten,le parapente
159,Sports,runner,die Läuferin,la coureuse
160,Sports,sail,das Segel,la voile
161,Sports,sailboat,das Segelboot,le voilier
162,Sports,sailing ship,das Segelschiff,le voilier
163,Sports,shape,die Kondition,la forme physique
164,Sports,ski course,der Skikurs,le cours de ski
165,Sports,skipping rope,das Springseil,la corde à sauter
166,Sports,snowboard,das Snowboard,le snowboard
167,Sports,snowboarder,der Snowboardfahrer,le snowboarder
168,Sports,sports,der Sport,le sport
169,Sports,squash player,der Squashspieler,le joueur de squash
170,Sports,strength training,das Krafttraining,la musculation
171,Sports,stretching,das Stretching,le stretching
172,Sports,surfboard,das Surfbrett,la planche de surf
173,Sports,surfer,der Surfer,le surfer
174,Sports,surfing,das Surfing,le surf
175,Sports,table tennis,das Tischtennis,le tennis de table
176,Sports,table tennis ball,der Tischtennisball,la balle de tennis de table
177,Sports,target,die Zielscheibe,la cible
178,Sports,team,die Mannschaft,l'équipe
179,Sports,tennis,das Tennis,le tennis
180,Sports,tennis ball,der Tennisball,la balle de tennis
181,Sports,tennis player,der Tennisspieler,le joueur de tennis
182,Sports,tennis racket,der Tennisschläger,la raquette de tennis
183,Sports,treadmill,das Laufband,le tapis roulant
184,Sports,volleyball player,der Volleyballspieler,le joueur de volley-ball
185,Sports,water ski,der Wasserski,le ski nautique
186,Sports,whistle,die Trillerpfeife,le coup de sifflet
187,Sports,wind surfer,der Windsurfer,le véliplanchiste
188,Sports,wrestling,der Ringkampf,la lutte
189,Sports,yoga,das Yoga,le yoga
190,Music,accordion,das Akkordeon,l'accordéon
191,Music,balalaika,die Balalaika,la balalaïka
192,Music,band,die Band,le groupe
193,Music,banjo,das Banjo,le banjo
194,Music,clarinet,die Klarinette,la clarinette
195,Music,concert,das Konzert,le concert
196,Music,drum,die Trommel,le tambour
197,Music,drums,das Schlagzeug,la batterie
198,Music,flute,die Flöte,la flûte
199,Music,grand piano,der Flügel,le piano à queue
200,Music,guitar,die Gitarre,la guitare
201,Music,hall,der Saal,la salle
202,Music,keyboard,das Keyboard,le synthétiseur
203,Music,mouth organ,die Mundharmonika,l'harmonica
204,Music,music,die Musik,la musique
205,Music,music stand,der Notenständer,le pupitre
206,Music,note,die Note,la note
207,Music,organ,die Orgel,l'orgue
208,Music,piano,das Klavier,le piano
209,Music,saxophone,das Saxofon,le saxophone
210,Music,singer,der Sänger,le chanteur
211,Music,string,die Saite,la corde
212,Music,trumpet,die Trompete,la trompette
213,Music,trumpeter,der Trompeter,le trompettiste
214,Music,violin,die Geige,le violon
215,Music,violin case,der Geigenkasten,l'étui à violon
216,Music,xylophone,das Xylofon,le xylophone
217,Office,ball pen,der Kugelschreiber,le stylo à bille
218,Office,break,die Pause,la pause
219,Office,briefcase,die Aktentasche,le porte-document
220,Office,coloring pencil,der Buntstift,le crayon de couleur
221,Office,conference,die Konferenz,la conférence
222,Office,conference room,der Konferenzraum,la salle de conférence
223,Office,copy,die Kopie,la copie
224,Office,directory,das Adressenverzeichnis,le répertoire
225,Office,file,der Aktenordner,le classeur
226,Office,filing cabinet,der Aktenschrank,l'armoire de classement
227,Office,fountain pen,der Füller,le stylo à plume
228,Office,letter tray,der Briefkorb,la corbeille à courrier
229,Office,marker,der Marker,le marqueur
230,Office,notebook,das Heft,le cahier
231,Office,notepad,der Notizzettel,le bloc-notes
232,Office,office,das Büro,le bureau
233,Office,office chair,der Bürostuhl,la chaise de bureau
234,Office,overtime,die Überstunden,les heures supplémentaires
235,Office,paper clip,die Büroklammer,le trombone
236,Office,pencil,der Bleistift,le crayon à papier
237,Office,punch,der Locher,la perforeuse
238,Office,safe,der Tresor,le coffre
239,Office,sharpener,der Anspitzer,le taille-crayon
240,Office,shredded paper,die Papierschnipsel,le papier déchiqueté
241,Office,shredder,der Reißwolf,le destructeur de documents
242,Office,spiral binding,die Spiralbindung,la reliure à spirale
243,Office,staple,die Heftklammer,l'agrafe
244,Office,stapler,der Hefter,l'agrafeuse
245,Office,typewriter,die Schreibmaschine,la machine à écrire
246,Office,workstation,der Arbeitsplatz,le poste de travail
247,Beverages,alcohol,der Alkohol,l'alcool
248,Beverages,beer,das Bier,la bière
249,Beverages,beer bottle,die Bierflasche,la bouteille de bière
250,Beverages,cap,der Kronkorken,la capsule
251,Beverages,cappuccino,der Cappuccino,le cappuccino
252,Beverages,champagne,der Champagner,le champagne
253,Beverages,champagne glass,das Sektglas,la coupe de champagne
254,Beverages,cocktail,der Cocktail,le cocktail
255,Beverages,coffee,der Kaffee,le café
256,Beverages,cork,der Korken,le bouchon
257,Beverages,corkscrew,der Korkenzieher,le tire-bouchon
258,Beverages,fruit juice,der Fruchtsaft,le jus de fruits
259,Beverages,funnel,der Trichter,l'entonnoir
260,Beverages,ice cube,der Eiswürfel,le glaçon
261,Beverages,jug,das Kännchen,la cruche
262,Beverages,kettle,der Wasserkessel,la bouilloire
263,Beverages,liquor,der Likör,la liqueur
264,Beverages,milk,die Milch,le lait
265,Beverages,mug,der Becher,la tasse
266,Beverages,orange juice,der Orangensaft,le jus d'orange
267,Beverages,pitcher,der Krug,la chope
268,Beverages,plastic cup,der Plastikbecher,le gobelet en plastique
269,Beverages,red wine,der Rotwein,le vin rouge
270,Beverages,straw,der Strohhalm,la paille
271,Beverages,tea,der Tee,le thé
272,Beverages,teapot,die Teekanne,la théière
273,Beverages,thermos flask,die Thermoskanne,la bouteille thermos
274,Beverages,thirst,der Durst,la soif
275,Beverages,water,das Wasser,l'eau
276,Beverages,whiskey,der Whisky,le whisky
277,Beverages,white wine,der Weißwein,le vin blanc
278,Beverages,wine,der Wein,le vin
279,People,age,das Alter,l'âge
280,People,aunt,die Tante,la tante
281,People,baby,das Baby,le bébé
282,People,babysitter,der Babysitter,la baby-sitter
283,People,boy,der Junge,le garçon
284,People,brother,der Bruder,le frère
285,People,child,das Kind,l'enfant
286,People,couple,das Ehepaar,le couple marié
287,People,daughter,die Tochter,la fille
288,People,divorce,die Scheidung,le divorce
289,People,embryo,der Embryo,l'embryon
290,People,engagement,die Verlobung,les fiançailles
291,People,extended family,die Großfamilie,la famille élargie
292,People,family,die Familie,la famille
293,People,flirt,der Flirt,le flirt
294,People,gentleman,der Herr,le monsieur
295,People,girl,das Mädchen,la jeune fille
296,People,girlfriend,die Freundin,la petite amie
297,People,granddaughter,die Enkeltochter,la petite-fille
298,People,grandfather,der Großvater,le grand-père
299,People,grandma,die Oma,la mamie
300,People,grandmother,die Großmutter,la grand-mère
301,People,grandparents,die Großeltern,les grands-parents
302,People,grandson,der Enkelsohn,le petit-fils
303,People,groom,der Bräutigam,le marié
304,People,group,die Gruppe,le groupe
305,People,helper,der Helfer,l'aide
306,People,infant,das Kleinkind,le petit enfant
307,People,lady,die Dame,dama\
308,People,marriage proposal,der Heiratsantrag,la demande en mariage
309,People,matrimony,die Ehe,le mariage
310,People,mother,die Mutter,la mère
311,People,nap,das Nickerchen,la sieste
312,People,neighbor,der Nachbar,le voisin
313,People,newlyweds,das Hochzeitspaar,les nouveaux mariés
314,People,couple1,das Ehepaar,le couple marié
315,People,parents,die Eltern,les parents
316,People,partner,der Partner,le partenaire
317,People,party,die Party,la fête
318,People,people,die Leute,les gens
319,People,bride,die Braut,la mariée
320,People,queue,die Reihe,la file d'attente
321,People,reception,der Empfang,la réception
322,People,rendezvous,das Rendezvous,le rendez-vous
323,People,siblings,die Geschwister,les frères et sœurs
324,People,sister,die Schwester,la sœur
325,People,son,der Sohn,le fils
326,People,twin,der Zwilling,le jumeau
327,People,uncle,der Onkel,l'oncle
328,People,wedding,die Trauung,le mariage
329,People,youth,die Jugend,la jeunesse
330,Time,alarm clock,der Wecker,le réveil
331,Time,ancient history,das Altertum,l'Antiquité
332,Time,antique,die Antiquität,l'antiquité
333,Time,appointment book,der Terminkalender,l'agenda
334,Time,autumn / fall,der Herbst,l'automne
335,Time,break,die Rast,la pause
336,Time,calendar,der Kalender,le calendrier
337,Time,century,das Jahrhundert,le siècle
338,Time,clock,die Uhr,la montre
339,Time,coffee break,die Kaffeepause,la pause-café
340,Time,date,das Datum,la date
341,Time,digital clock,die Digitaluhr,la montre digitale
342,Time,eclipse,die Sonnenfinsternis,l'éclipse
343,Time,end,das Ende,la fin
344,Time,future,die Zukunft,l'avenir
345,Time,history,die Geschichte,l'histoire
346,Time,hourglass,die Sanduhr,le sablier
347,Time,middle ages,das Mittelalter,Moyen-Age
348,Time,month,dal\,месяц
349,Time,morning,der Morgen,le matin
350,Time,past,die Vergangenheit,le passé
351,Time,pocket watch,die Taschenuhr,la montre de poche
352,Time,punctuality,die Pünktlichkeit,la ponctualité
353,Time,rush,die Eile,la hâte
354,Time,seasons,die Jahreszeiten,les saisons
355,Time,spring,der Frühling,le printemps
356,Time,sundial,die Sonnenuhr,le cadran solaire
357,Time,sunrise,der Sonnenaufgang,le lever du soleil
358,Time,sunset,der Sonnenuntergang,le coucher du soleil
359,Time,time,die Zeit,le temps
360,Time,time1,die Zeit,le temps
361,Time,waiting time,die Wartezeit,le temps d'attente
362,Time,weekend,das Wochenende,le week-end
363,Time,year,hae\,год
364,Environment,agriculture,die Landwirtschaft,l'agriculture
365,Environment,air pollution,die Luftverschmutzung,la pollution de l'air
366,Environment,anthill,der Ameisenhaufen,la fourmilière
367,Environment,canal,der Kanal,le canal
368,Environment,coast,die Küste,la côte
369,Environment,continent,der Kontinent,le continent
370,Environment,creek,der Bach,le ruisseau
371,Environment,dam,der Staudamm,le barrage
372,Environment,desert,die Wüste,le désert
373,Environment,dune,die Düne,la dune
374,Environment,field,das Feld,le champ
375,Environment,forest,der Wald,la forêt
376,Environment,glacier,der Gletscher,le glacier
377,Environment,heath,die Heide,la lande
378,Environment,island,die Insel,l'île
379,Environment,jungle,der Dschungel,la jungle
380,Environment,landscape,die Landschaft,le paysage
381,Environment,mountains,das Gebirge,les montagnes
382,Environment,nature park,der Naturpark,le parc naturel
383,Environment,peak,der Gipfel,le sommet
384,Environment,pile,der Haufen,le tas
385,Environment,protest march,der Protestmarsch,la marche de protestation
386,Environment,recycling,das Recycling,le recyclage
387,Environment,sea,das Meer,la mer
388,Environment,smoke,der Rauch,la fumée
389,Environment,vineyard,der Weinberg,le vignoble
390,Environment,volcano,der Vulkan,le volcan
391,Environment,waste,der Müll,les déchets
392,Environment,water level,der Wasserpegel,le niveau d'eau
393,Packaging,aluminum foil,die Aluminiumfolie,le papier d'aluminium
394,Packaging,barrel,das Fass,le tonneau
395,Packaging,basket,der Korb,le panier
396,Packaging,bottle,die Flasche,la bouteille
397,Packaging,box,die Schachtel,la boîte
398,Packaging,box of chocolates,die Pralinenschachtel,la boîte de chocolats
399,Packaging,cardboard,die Pappe,le carton
400,Packaging,content,der Inhalt,le contenu
401,Packaging,crate,die Kiste,la caisse
402,Packaging,envelope,der Briefumschlag,l'enveloppe
403,Packaging,knot,der Knoten,le nœud
404,Packaging,metal box,die Metallkiste,la boîte en métal
405,Packaging,oil drum,das Ölfass,le baril de pétrole
406,Packaging,packaging,die Verpackung,l'emballage
407,Packaging,paper,das Papier,le papier
408,Packaging,paper bag,die Papiertüte,le sac en papier
409,Packaging,plastic,das Plastik,le plastique
410,Packaging,tin / can,die Konservendose,la boîte de conserve
411,Packaging,tote bag,die Tragetasche,le sac fourre-tout
412,Packaging,wine barrel,das Weinfass,le tonneau de vin
413,Packaging,wine bottle,die Weinflasche,la bouteille de vin
414,Packaging,wooden box,die Holzkiste,la boîte en bois
415,Tools,anchor,der Anker,l'ancre
416,Tools,anvil,der Amboss,l'enclume
417,Tools,blade,die Klinge,la lame
418,Tools,board,das Brett,la planche
419,Tools,bolt,der Bolzen,le boulon
420,Tools,bottle opener,der Flaschenöffner,l'ouvre-bouteille
421,Tools,broom,der Besen,le balai
