id,text
"1","What is the Agile Manifesto?\nFour values and principles behind the Agile philosophy\nIndividuals and interactions over processes and tools\nWorking software over comprehensive documentation\nCustomer collaboration over contract negotiation\nResponding to change over following a plan\nThat is, while there is value in the items on the right, we value the items on the left more."
"2","What is empiricism?\nDecisions are made based on observation, experimentation and experience rather than on detailed upfront planning. Simply, learning by doing."
"3","What are the three pillars of Scrum and why are they important?\nThe pillars are Transparency, Inspection and Adaptation\nThese pillars form the basis of Scrum"
"4","What are the Five events in Scrum?\nThe Sprint\nSprint Planning\nThe Daily Scrum\nSprint Review\nSprint Retrospective"
"5","What are the Three roles in Scrum?\nThe Scrum Master\nThe Product Owner\nDevelopers"
"6","What are the Artifacts in Scrum?\nThe Product Backlog\nThe Sprint Backlog\nThe Increment"
"7","What events must the Scrum Master be present in?\nSprint itself\nSprint Planning\nSprint Review\nSprint Retrospective"
"8","What events must the Product Owner be present in?\nSprint itself\nSprint Planning\nSprint Review\nSprint Retrospective"
"9","What events must the Developers be present in?\nSprint itself\nThe Daily Scrum\nSprint Planning\nSprint Review\nSprint Retrospective"
"10","What is the Product Goal?\nThe Product Goal is the objective of the Sprint and usually results in releasable value"
"11","How long is a Sprint?\nFixed length events of one month or less to create consistency."
"12","What is the outcome of the Sprint?\nA releasable increment of value"
"13","How does a Sprint control risk?\nBy limiting work, releasing value early and often and enabling frequent learning"
"14","What is the purpose of the Daily Scrum?\nInspect progress toward the Sprint Goal and adapt the Sprint Backlog as necessary, adjusting the upcoming planned work."
"15","What are the outcomes of the Daily Scrum?\nA plan for the day and a list of impediments to be resolved by either the team or the Scrum Master"
"16","What is the timebox for the Daily Scrum?\n15 minutes"
"17","What is the purpose of Sprint Planning?\nSprint Planning initiates the Sprint by laying out the work to be performed for the Sprint. This resulting plan is created by the collaborative work of the entire Scrum Team."
"18","What are the outcomes of Sprint Planning?\nThe Sprint Goal\nAn initial Sprint Backlog"
"19","What is the timebox for Sprint Planning?\nSprint Planning is timeboxed to a maximum of eight hours for a one-month Sprint. For shorter Sprints, the event is usually shorter."
"20","What is the purpose of the Sprint Review?\nThe purpose of the Sprint Review is to inspect the outcome of the Sprint and determine future adaptations. The Scrum Team presents the results of their work to key stakeholders and progress toward the Product Goal is discussed."
"21","Who attends the Sprint Review?\nThe Scrum Team\nInvited Stakeholders"
"22","What is the timebox for the Sprint Review?\nTimeboxed to a maximum of four hours for a one-month Sprint. For shorter Sprints, the event is usually shorter."
"23","What are the outcomes of the Sprint Review?\nDuring the event, the Scrum Team and stakeholders review what was accomplished in the Sprint and what has changed in their environment. Based on this information, attendees collaborate on what to do next. The Product Backlog may also be adjusted to meet new opportunities."
"24","What is the purpose of the Sprint Retrospective?\nThe purpose of the Sprint Retrospective is to plan ways for a team to increase its quality and effectiveness. The team does this by reviewing its past performance and generating concrete actions for improvement, to be executed in the next Sprint."
"25","What is the timebox for the Sprint Retrospective?\nTimeboxed to a maximum of three hours for a one-month Sprint. For shorter Sprints, the event is usually shorter."
"26","What are the outcomes of the Sprint Retrospective?\nActions for improvement to be executed in subsequent Sprints."
"27","Who must attend the Sprint Retrospective?\nThe Scrum team"
"28","What are the five values of Scrum?\nSuccessful use of Scrum depends on people becoming more proficient in living five values:\nCommitment, Focus, Openness, Respect, and Courage."
"29","Who owns the Product Backlog?\nThe Product Owner"
"30","Who owns the Sprint Backlog?\nThe Developers"
"31","Who can tell the Developers how to do their work?\nThe Developers self organise, no one tells them how to do their work."
"32","What skills are needed across the Developers to do their work?\nThey must be cross functional."
"33","What is an increment?\nThe result of a Sprints worth of work; potentially releasable value that builds on previous releases."
"34","Who decides whether an increment should be released or not?\nThe Product Owner"
"35","What is the best way to order a Product Backlog?\nBy Value"
"36","Who is accountable for delivering every Sprint?\nThe Scrum Team"
"37","Who is accountable for creating a plan for the Sprint?\nThe Scrum Team in planning"
"38","What is the Definition of Done?\nA checklist which details what a complete piece of work looks like"
"39","Who creates the Definition of Done?\nThe Developers or the Development Organisation"
"40","Who orders the Product Backlog?\nThe Product Owner with support from collaborators"
"41","How many people manage the Product Backlog?\nThe Product Owner manages the Product Backlog"
"42","Who can write Product Backlog Items\nThe Product Owner can do this themselves or delegate – the Product Owner remains accountable for clear expression of Product Backlog Items"
"43","Who can cancel the Sprint?\nOnly the Product Owner"
"44","How does the Scrum Master serve the Product Owner?\nHelping find techniques for effective Product Goal definition and Product Backlog management;\nHelping the Scrum Team understand the need for clear and concise Product Backlog items;\nHelping establish empirical product planning for a complex environment; and,\nFacilitating stakeholder collaboration as requested or needed."
"45","What is a Product Backlog Item?\nA unit of work in that results in value"
"46","What is the Product Owners responsibilities?\nEnsuring that Product Backlog Items are transparent and well understood by the developers\nDeveloping and explicitly communicating the Product Goal\nCreating and clearly communicating Product Backlog items\nOrdering Product Backlog items; and,\nEnsuring that the Product Backlog is transparent, visible and understood."
"47","What work can the Product Owner delegate?\nThe Product Owner may do the above work (q46) or may delegate the responsibility to others. Regardless, the Product Owner remains accountable.\nThere are multiple teams working towards delivery of ONE product, how many product owners should there be?\nOne\nDuring the Sprint new work is discovered, when should it be added to the Sprint Backlog?\nAs soon as its discovered"
"48","What is Backlog Refinement?\nProduct Backlog refinement is the act of breaking down and further defining Product Backlog items into smaller more precise items.\nThis is an ongoing activity to add details, such as a description, order, and size. Attributes often vary with the domain of work."
"49","What is the timebox for Backlog Refinement?\nAs much time as is needed"
"50","What is the outcome of Backlog Refinement?\nA well understood, ordered Backlog"
